algorithm,dataset,size,average_time_microseconds,average_character_comparisons
string_quick_sort,prefix_heavy,900,1486.77,43009
string_merge_sort,prefix_heavy,900,16194.9,613880
msd_radix_sort,prefix_heavy,900,5962.02,73406
msd_radix_quick_sort,prefix_heavy,900,5502.62,74136
quick_sort,random,1000,6155.62,300887
merge_sort,random,1000,1674.06,18811
string_quick_sort,random,1000,799.829,10742
string_merge_sort,random,1000,2105.55,18811
msd_radix_sort,random,1000,1939.67,4328
msd_radix_quick_sort,random,1000,471.933,5625
quick_sort,reverse_sorted,1000,6223.08,235592
merge_sort,reverse_sorted,1000,1716.05,14450
string_quick_sort,reverse_sorted,1000,4366.17,41860
string_merge_sort,reverse_sorted,1000,1572.23,14450
msd_radix_sort,reverse_sorted,1000,2386.4,4282
msd_radix_quick_sort,reverse_sorted,1000,643.621,9275
quick_sort,nearly_sorted,1000,6737.29,232812
merge_sort,nearly_sorted,1000,1564.95,13373
string_quick_sort,nearly_sorted,1000,1876.27,28476
string_merge_sort,nearly_sorted,1000,1558.25,13373
msd_radix_sort,nearly_sorted,1000,1921.63,4362
msd_radix_quick_sort,nearly_sorted,1000,542.95,6173
quick_sort,prefix_heavy,1000,23841.7,938721
merge_sort,prefix_heavy,1000,13646.8,486599
string_quick_sort,prefix_heavy,1000,1349.59,36221
string_merge_sort,prefix_heavy,1000,13557.1,486599
msd_radix_sort,prefix_heavy,1000,5665.37,57866
msd_radix_quick_sort,prefix_heavy,1000,4315.2,58902
quick_sort,random,1100,8951.23,333354
merge_sort,random,1100,2116.05,21198
string_quick_sort,random,1100,859.533,11400
string_merge_sort,random,1100,2326.17,21198
msd_radix_sort,random,1100,1953.31,4728
msd_radix_quick_sort,random,1100,526.433,6318
quick_sort,reverse_sorted,1100,6843.38,270112
merge_sort,reverse_sorted,1100,1850.12,16632
string_quick_sort,reverse_sorted,1100,2881,48389
string_merge_sort,reverse_sorted,1100,1679.63,16632
msd_radix_sort,reverse_sorted,1100,2256.02,4796
msd_radix_quick_sort,reverse_sorted,1100,805.6,10727
quick_sort,nearly_sorted,1100,6831.92,270058
merge_sort,nearly_sorted,1100,1830.92,16181
string_quick_sort,nearly_sorted,1100,1645.4,25965
string_merge_sort,nearly_sorted,1100,1864.86,16181
msd_radix_sort,nearly_sorted,1100,1988.82,4812
msd_radix_quick_sort,nearly_sorted,1100,593.212,6951
quick_sort,prefix_heavy,1100,29273.5,1.23454e+06
merge_sort,prefix_heavy,1100,19757.8,736131
string_quick_sort,prefix_heavy,1100,1701.08,50983
string_merge_sort,prefix_heavy,1100,18863.8,736131
msd_radix_sort,prefix_heavy,1100,7294.25,85398
msd_radix_quick_sort,prefix_heavy,1100,5799.32,86587
quick_sort,random,1200,9746.47,356068
merge_sort,random,1200,2900.65,23762
string_quick_sort,random,1200,877.475,12354
string_merge_sort,random,1200,2572.83,23762
msd_radix_sort,random,1200,2521.02,5274
msd_radix_quick_sort,random,1200,579.425,7168
quick_sort,reverse_sorted,1200,7413.6,317892
merge_sort,reverse_sorted,1200,1558.86,18820
string_quick_sort,reverse_sorted,1200,2674.88,51871
string_merge_sort,reverse_sorted,1200,2341,18820
msd_radix_sort,reverse_sorted,1200,2406.32,5334
msd_radix_quick_sort,reverse_sorted,1200,904.233,12242
quick_sort,nearly_sorted,1200,8422.08,312228
merge_sort,nearly_sorted,1200,1871.71,16265
string_quick_sort,nearly_sorted,1200,1544.45,26324
string_merge_sort,nearly_sorted,1200,1894.42,16265
msd_radix_sort,nearly_sorted,1200,2448.59,5282
msd_radix_quick_sort,nearly_sorted,1200,676.416,8073
quick_sort,prefix_heavy,1200,19292,812418
merge_sort,prefix_heavy,1200,9730.53,345950
string_quick_sort,prefix_heavy,1200,1377.35,29744
string_merge_sort,prefix_heavy,1200,10683.1,345950
msd_radix_sort,prefix_heavy,1200,4777.7,41078
msd_radix_quick_sort,prefix_heavy,1200,3100.42,42733
quick_sort,random,1300,11085.9,391578
merge_sort,random,1300,3043.27,26252
string_quick_sort,random,1300,949.658,13552
string_merge_sort,random,1300,2660.01,26252
msd_radix_sort,random,1300,2668.34,5742
msd_radix_quick_sort,random,1300,757.35,7981
quick_sort,reverse_sorted,1300,9797.5,362898
merge_sort,reverse_sorted,1300,2200.27,20854
string_quick_sort,reverse_sorted,1300,3537.69,55470
string_merge_sort,reverse_sorted,1300,2093.34,20854
msd_radix_sort,reverse_sorted,1300,2553.47,5740
msd_radix_quick_sort,reverse_sorted,1300,956.284,13976
quick_sort,nearly_sorted,1300,8777.94,333277
merge_sort,nearly_sorted,1300,2121.34,19824
string_quick_sort,nearly_sorted,1300,2467.62,36573
string_merge_sort,nearly_sorted,1300,2267.32,19824
msd_radix_sort,nearly_sorted,1300,2531.55,5714
msd_radix_quick_sort,nearly_sorted,1300,756.008,8722
quick_sort,prefix_heavy,1300,25347.4,957177
merge_sort,prefix_heavy,1300,13627.2,450866
string_quick_sort,prefix_heavy,1300,1645.97,37047
string_merge_sort,prefix_heavy,1300,13371.4,450866
msd_radix_sort,prefix_heavy,1300,6054.98,52258
msd_radix_quick_sort,prefix_heavy,1300,3951.35,54153
quick_sort,random,1400,10803.6,413573
merge_sort,random,1400,3021.47,28864
string_quick_sort,random,1400,1007.12,14940
string_merge_sort,random,1400,3106.05,28864
